Gen:	L_2
1408	69.9096
1409	69.9096
1410	69.9096
1411	69.9096
1412	69.9096
1413	69.9096
1414	69.9096
1415	69.9096
1416	69.9096
1417	69.9096
1418	69.9096
1419	69.9096
1420	69.9096
1421	69.9096
1422	69.9096
1423	69.9096
1424	69.9096
1425	69.9096
1426	69.9096
1427	69.9096
1428	69.9096
1429	69.9096
1430	69.9096
1431	69.9096
1432	69.9096
1433	69.9096
1434	69.9096
1435	69.9096
1436	69.9096
1437	69.9096
1438	69.9096
1439	69.9096
1440	69.9096
1441	69.9096
1442	69.9096
1443	69.9096
1444	69.9096
1445	69.9096
1446	69.9096
1447	69.9096
1448	69.9096
1449	69.9096
1450	69.9096
1451	69.9096
1452	69.9096
1453	69.9096
1454	69.9096
1455	69.9096
1456	69.9096
1457	69.9096
1458	69.9096
1459	69.9096
1460	69.9096
1461	69.9096
1462	69.9096
1463	69.9096
1464	69.9096
1465	69.9096
1466	69.9096
1467	69.9096
1468	69.9096
1469	69.9096
1470	69.9096
1471	69.9096
1472	69.9096
1473	69.9096
1474	69.9096
1475	69.9096
1476	69.9096
1477	69.9096
1478	69.9096
1479	69.9096
1480	69.9096
1481	69.9096
1482	69.9096
1483	69.9096
1484	69.9096
1485	69.9096
1486	69.9096
1487	69.9096
1488	69.9096
1489	69.9096
1490	69.9096
1491	69.9096
1492	69.9096
1493	69.9096
1494	69.9096
1495	69.9096
1496	69.9096
1497	69.9096
1498	69.9096
1499	69.9096
1500	69.9096
1501	69.9096
1502	69.9096
1503	69.9096
1504	69.9096
1505	69.9096
1506	69.9096
1507	69.9096
1508	69.9096
1509	69.9096
1510	69.9096
1511	69.9096
1512	69.9096
1513	69.9096
1514	69.9096
1515	69.9096
1516	69.9096
1517	69.9096
1518	69.9096
1519	69.9096
1520	69.9096
1521	69.9096
1522	69.9096
1523	69.9096
1524	69.9096
1525	69.9096
1526	69.9096
1527	69.9096
1528	69.9096
1529	69.9096
1530	69.9096
1531	69.9096
1532	69.9096
1533	69.9096
1534	69.9096
1535	69.9096
1536	69.9096
1537	69.9096
1538	69.9096
1539	69.9096
1540	69.9096
1541	69.9096
1542	69.9096
1543	69.9096
1544	69.9096
1545	69.9096
1546	69.9096
1547	69.9096
1548	69.9096
1549	69.9096
1550	69.9096
1551	69.9096
1552	69.9096
1553	69.9096
1554	69.9096
1555	69.9096
1556	69.9096
1557	69.9096
1558	69.9096
1559	69.9096
1560	69.9096
1561	69.9096
1562	69.9096
1563	69.9096
1564	69.9096
1565	69.9096
1566	69.9096
1567	69.9096
1568	69.9096
1569	69.9096
1570	69.9096
1571	69.9096
1572	69.9096
1573	69.9096
1574	69.9096
1575	69.9096
1576	69.9096
1577	69.9096
1578	69.9096
1579	69.9096
1580	69.9096
1581	69.9096
1582	69.9096
1583	69.9096
1584	69.9096
1585	69.9096
1586	69.9096
1587	69.9096
1588	69.9096
1589	69.9096
1590	69.9096
1591	69.9096
1592	69.9096
1593	69.9096
1594	69.9096
1595	69.9096
1596	69.9096
1597	69.9096
1598	69.9096
1599	69.9096
1600	69.9096
1601	69.9096
1602	69.9096
1603	69.9096
1604	69.9096
1605	69.9096
1606	69.9096
1607	69.9096
1608	69.9096
1609	69.9096
1610	69.9096
1611	69.9096
1612	69.9096
1613	69.9096
1614	69.9096
1615	69.9096
1616	69.9096
1617	69.9096
1618	69.9096
1619	69.9096
1620	69.9096
1621	69.9096
1622	69.9096
1623	69.9096
1624	69.9096
1625	69.9096
1626	69.9096
1627	69.9096
1628	69.9096
1629	69.9096
1630	69.9096
1631	69.9096
1632	69.9096
1633	69.9096
1634	69.9096
1635	69.9096
1636	69.9096
1637	69.9096
1638	69.9096
1639	69.9096
1640	69.9096
1641	69.9096
1642	69.9096
1643	69.9096
1644	69.9096
1645	69.9096
1646	69.9096
1647	69.9096
1648	69.9096
1649	69.9096
1650	69.9096
1651	69.9096
1652	69.9096
1653	69.9096
1654	69.9096
1655	69.9096
1656	69.9096
1657	69.9096
1658	69.9096
1659	69.9096
1660	69.9096
1661	69.9096
1662	69.9096
1663	69.9096
1664	69.9096
1665	69.9096
1666	69.9096
1667	69.9096
1668	69.9096
1669	69.9096
1670	69.9096
1671	69.9096
1672	69.9096
1673	69.9096
1674	69.9096
1675	69.9096
1676	69.9096
1677	69.9096
1678	69.9096
1679	69.9096
1680	69.9096
1681	69.9096
1682	69.9096
1683	69.9096
1684	69.9096
1685	69.9096
1686	69.9096
1687	69.9096
1688	69.9096
1689	69.9096
1690	69.9096
1691	69.9096
1692	69.9096
1693	69.9096
1694	69.9096
1695	69.9096
1696	69.9096
1697	69.9096
1698	69.9096
1699	69.9096
1700	69.9096
1701	69.9096
1702	69.9096
1703	69.9096
1704	69.9096
1705	69.9096
1706	69.9096
1707	69.9096
1708	69.9096
1709	69.9096
1710	69.9096
1711	69.9096
1712	69.9096
1713	69.9096
1714	69.9096
1715	69.9096
1716	69.9096
1717	69.9096
1718	69.9096
1719	69.9096
1720	69.9096
1721	69.9096
1722	69.9096
1723	69.9096
1724	69.9096
1725	69.9096
1726	69.9096
1727	69.9096
1728	69.9096
1729	69.9096
1730	69.9096
1731	69.9096
1732	69.9096
1733	69.9096
1734	69.9096
1735	69.9096
1736	69.9096
1737	69.9096
1738	69.9096
1739	69.9096
1740	69.9096
1741	69.9096
1742	69.9096
1743	69.9096
1744	69.9096
1745	69.9096
1746	69.9096
1747	69.9096
1748	69.9096
1749	69.9096
1750	69.9096
1751	69.9096
1752	69.9096
1753	69.9096
1754	69.9096
1755	69.9096
1756	69.9096
1757	69.9096
1758	69.9096
1759	69.9096
1760	69.9096
