Gen:	<L_2>
1650	70.6135
1651	70.6029
1652	70.5647
1653	70.6728
1654	70.5394
1655	70.7909
1656	70.6154
1657	70.4304
1658	70.3022
1659	70.6412
1660	70.543
1661	70.5116
1662	70.7114
1663	70.8747
1664	71.033
1665	70.7855
1666	70.5841
1667	70.3499
1668	70.5372
1669	70.5087
1670	70.5052
1671	70.8613
1672	70.7262
1673	70.6259
1674	70.579
1675	70.6712
1676	70.5866
1677	70.8979
1678	70.7577
1679	70.678
1680	70.3188
1681	70.304
1682	70.4651
1683	70.6918
1684	70.6374
1685	70.6489
1686	70.4612
1687	70.5138
1688	70.5465
1689	70.643
1690	70.6504
1691	70.6957
1692	70.4229
1693	70.3415
1694	70.6673
1695	70.6751
1696	70.6219
1697	70.5331
1698	70.5816
1699	70.4657
1700	70.4604
1701	70.6287
1702	70.3858
1703	70.6534
1704	70.6143
1705	70.6046
1706	70.6481
1707	70.5967
1708	70.7891
1709	70.454
1710	70.5487
1711	70.4357
1712	70.3208
1713	70.6131
1714	70.332
1715	70.4812
1716	70.5063
1717	70.5744
1718	70.8622
1719	70.9111
1720	70.7517
1721	70.6796
1722	70.4875
1723	70.4551
1724	70.6876
1725	70.6868
1726	70.4432
1727	70.6609
1728	70.6265
1729	70.4944
1730	70.6665
1731	70.6413
1732	70.4354
1733	70.3921
1734	70.591
1735	70.6547
1736	70.5191
1737	70.7796
1738	70.6638
1739	70.3264
1740	70.7798
1741	70.4489
1742	70.5503
1743	70.5106
1744	70.7938
1745	70.7032
1746	70.6145
1747	70.4404
1748	70.5569
1749	70.5506
1750	70.7244
1751	70.844
1752	70.5348
1753	70.6621
1754	70.9291
1755	70.8912
1756	70.6754
1757	70.6725
1758	70.4547
1759	70.6842
1760	70.4392
1761	70.6742
1762	70.5515
1763	70.5285
1764	70.5475
1765	70.7347
1766	70.4514
1767	70.6692
1768	70.3863
1769	70.6494
1770	70.6681
1771	70.7124
1772	70.6895
1773	70.4733
1774	70.5802
1775	70.5408
1776	71.0203
1777	70.3698
1778	70.7139
1779	70.5099
1780	70.5852
1781	70.7465
1782	70.5745
1783	70.6664
1784	70.7909
1785	70.5486
1786	70.7833
1787	70.5451
1788	70.7287
1789	70.6915
1790	70.3675
1791	70.5487
1792	70.5204
1793	70.5333
1794	70.6255
1795	70.5928
1796	70.4273
1797	70.9013
1798	70.7898
1799	70.6062
1800	70.583
1801	70.7011
1802	70.6236
1803	70.6868
1804	70.5043
1805	70.4279
1806	70.539
1807	70.6717
1808	70.628
1809	70.4177
1810	70.4443
1811	70.6144
1812	70.6715
1813	70.4955
1814	70.6887
1815	70.6219
1816	70.5314
1817	70.5342
1818	70.3782
1819	70.3647
1820	70.7485
1821	70.7067
1822	70.8627
1823	70.5729
1824	70.6709
1825	70.6572
1826	70.5596
1827	70.8231
1828	70.9727
1829	70.7771
1830	70.6159
1831	70.5973
1832	70.527
1833	70.571
1834	70.6393
1835	70.44
1836	70.714
1837	70.5637
1838	70.4436
1839	70.8656
1840	70.7058
1841	70.8042
1842	70.6459
1843	70.6776
1844	70.4495
1845	70.6309
1846	70.7788
1847	70.6538
1848	70.587
1849	70.6068
1850	70.5318
1851	70.5559
1852	70.63
1853	70.3846
1854	70.7071
1855	70.6574
1856	70.7944
1857	70.7167
1858	70.4877
1859	70.7819
1860	70.6965
1861	70.8008
1862	70.8103
1863	70.9343
1864	70.7716
1865	70.65
1866	70.6061
1867	70.5642
1868	70.5743
1869	70.4615
1870	70.706
1871	70.6376
1872	70.5733
1873	70.5712
1874	70.5185
1875	70.5846
1876	70.65
1877	70.5516
1878	70.6083
1879	70.3856
1880	70.5527
1881	70.5427
1882	70.6578
1883	70.6447
1884	70.4582
1885	70.6478
1886	70.6228
1887	70.417
1888	70.3423
1889	70.8134
1890	70.634
1891	70.6419
1892	70.6447
1893	70.6224
1894	70.599
1895	70.9532
1896	70.5706
1897	70.8109
